"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"1"	"表2"	"25394-33-6"	"25394-33-6"	"N-甲基-1-苯基-1-氯-2-丙胺"
"2"	"表2"	"93-55-0"	"93-55-0"	"苯丙酮"
"3"	"表3"	"7726-95-6"	"7726-95-6"	"溴"
"4"	"表3"	"7726-95-6[含溴＜3.5%]"	"7726-95-6"	"溴水"
"5"	"表3"	"7726-95-6[含溴≥3.5%]"	"7726-95-6"	"溴水"
"6"	"表2"	"24775-76-6"	"24775-76-6"	"4-苯基氨基-1-苯乙基哌啶，盐酸盐"
"7"	"表2"	"21409-26-7"	"21409-26-7"	"4-苯基氨基-1-苯乙基哌啶"
"8"	"表2"	"15232-63-0"	"15232-63-0"	"麦角乙二胺，D-酒石酸盐"
"9"	"表2"	"39742-60-4"	"39742-60-4"	"N-(2-苯乙基)-4-哌啶酮"
"10"	"表3"	"7723-14-0[熔融白磷]"	"7723-14-0"	"白磷"
"11"	"表1"	"12185-10-3"	"12185-10-3"	"白磷"
"12"	"表3"	"7723-14-0[赤磷]"	"7723-14-0"	"赤磷"
"13"	"表4"	"7727-37-9"	"7727-37-9"	"氮"
"14"	"表4"	"13494-80-9"	"13494-80-9"	"碲"
"15"	"表4"	"13494-80-9[稀盐酸溶液]"	"13494-80-9"	"碲，稀盐酸溶液"
"16"	"表2"	"7782-41-4"	"7782-41-4"	"氟"
"17"	"表3"	"7440-21-3[结晶状]"	"7440-21-3"	"硅"
"18"	"表3"	"7440-21-3[粉状,非晶形]"	"7440-21-3"	"硅粉"
"19"	"表4"	"7440-59-7"	"7440-59-7"	"氦"
"20"	"表3"	"7723-14-0[干黄磷或白磷]"	"7723-14-0"	"黄磷"
"21"	"表4"	"7439-90-9"	"7439-90-9"	"氪"
"22"	"表4"	"7704-34-9[易燃溶剂溶液]"	"7704-34-9"	"硫，溶液"
"23"	"表4"	"7704-34-9"	"7704-34-9"	"硫"
"24"	"表3"	"7704-34-9[胶体]"	"7704-34-9"	"硫"
"25"	"表3"	"7704-34-9[熔融硫磺]"	"7704-34-9"	"硫"
"26"	"表2"	"7782-50-5"	"7782-50-5"	"氯"
"27"	"表4"	"7440-01-9"	"7440-01-9"	"氖"
"28"	"表4"	"1333-74-0"	"1333-74-0"	"氢"
"29"	"表3"	"7440-38-2[非粉状]"	"7440-38-2"	"砷"
"30"	"表3"	"7440-38-2[粉状]"	"7440-38-2"	"砷粉"
"31"	"表4"	"7782-42-5"	"7782-42-5"	"石墨"
"32"	"表2"	"7782-49-2"	"7782-49-2"	"硒"
"33"	"表4"	"7440-63-3"	"7440-63-3"	"氙"
"34"	"表4"	"7440-37-1"	"7440-37-1"	"氩"
"35"	"表4"	"7782-44-7"	"7782-44-7"	"氧"
"36"	"表3"	"7727-37-9[液态]"	"7727-37-9"	"液氮"
"37"	"表3"	"7440-59-7[液态]"	"7440-59-7"	"液氦"
"38"	"表3"	"7439-90-9[液态]"	"7439-90-9"	"液氪"
"39"	"表3"	"7440-01-9[液态]"	"7440-01-9"	"液氖"
"40"	"表3"	"1333-74-0[液态]"	"1333-74-0"	"液氢"
"41"	"表3"	"7440-63-3[液态]"	"7440-63-3"	"液氙"
"42"	"表3"	"7440-37-1[液态]"	"7440-37-1"	"液氩"
"43"	"表3"	"7782-44-7[液态]"	"7782-44-7"	"液氧"
"44"	"表2"	"7440-39-3"	"7440-39-3"	"钡"
"45"	"表4"	"7440-70-2"	"7440-70-2"	"钙"
"46"	"表3"	"7440-70-2[发火]"	"7440-70-2"	"钙"
"47"	"表3"	"7440-67-7[板状、带状、卷状,干的]"	"7440-67-7"	"锆"
"48"	"表3"	"7440-67-7[片&条&丝状,干的]"	"7440-67-7"	"锆"
"49"	"表3"	"7440-67-7[易燃液体悬浮液]"	"7440-67-7"	"锆"
"50"	"表3"	"7440-67-7[粉状,干的]"	"7440-67-7"	"锆粉"
"51"	"表3"	"7440-67-7[粉状,含水≥25%]"	"7440-67-7"	"锆粉"
"52"	"表3"	"7440-67-7[碎屑]"	"7440-67-7"	"锆屑"
"53"	"表2"	"7440-43-9"	"7440-43-9"	"镉"
"54"	"表3"	"7440-58-6[非粉状]"	"7440-58-6"	"铪"
"55"	"表3"	"7440-58-6[粉状,含水＜25%]"	"7440-58-6"	"铪粉"
"56"	"表3"	"7440-58-6[粉状,含水≥25%]"	"7440-58-6"	"铪粉"
"57"	"表2"	"7440-55-3"	"7440-55-3"	"镓"
"58"	"表2"	"7440-09-7"	"7440-09-7"	"钾"
"59"	"表4"	"7439-91-0"	"7439-91-0"	"镧"
"60"	"表3"	"7439-91-0[煤油中]"	"7439-91-0"	"镧"
"61"	"表2"	"7439-93-2"	"7439-93-2"	"锂"
"62"	"表3"	"7429-90-5[非粉状]"	"7429-90-5"	"铝"
"63"	"表3"	"7429-90-5[粉状,无涂层]"	"7429-90-5"	"铝粉"
"64"	"表3"	"7429-90-5[粉状,有涂层]"	"7429-90-5"	"铝粉"
"65"	"表3"	"7439-95-4[丸状或旋屑或带状]"	"7439-95-4"	"镁"
